Author,Date,Status,Funnel,Title,URL,Max Keywords Volume,Keywords,FAQ,Topic Cluster,Notes
,1/Aug/22,Published,,Free holiday activities for thousands this summer,,,,,,"Information here https://www.stockport.gov.uk/information-for-providers Get quote from YMCA Essex, MakeSense, A2ndVoice ?"
,1/Aug/22,Published,,Lionesses inspire next generation of girl footballers,,,,,,https://www.devonlive.com/news/devon-news/gallery/lionesses-inspire-exeter-girls-numbers-7437677
,1/Aug/22,Published,,Introduction to Email Marketing for Group Activity Providers,,,,,,Repost/rewrite of https://www.pembee.app/blog/marketing-tips/email-marketing-for-group-activity-providers
,1/Aug/22,Published,,After school clubs - new school year,,,,,,
,1/Sep/22,Published,,SEO: Organic Search,,,,,,Repost/rewrite of https://www.pembee.app/blog/marketing-tips/search-engine-optimisation-seo-for-group-activity-providers-part-2
,1/Sep/22,Published,,TBD - Class Booking system ?,,,,,,
,1/Sep/22,Published,,SEO: Paid Search,,,,,,Repost/rewrite of https://www.pembee.app/blog/marketing-tips/search-engine-optimisation-seo-for-group-activity-providers-part-2
,1/Sep/22,Published,,TBD - After School Club ideas,,,,,,https://www.kidsclubhq.com/articles/after-school-club-resources-to-follow/
,1/Sep/22,Published,,Benefits of Online Activity Booking System,,,,,,Repost/rewrite. Try to get indexed this time!
,10/Oct/22,Published,,,,,,,,
,22/Oct/22,Published,,How to appy for HAF Programme,,,,,,
,22/Oct/22,Published,,Benefits of After School Clubs to pupil grades,,,,,,https://www.bbc.co.uk/news/education-36081560
,22/Oct/22,Published,,,,,,,,
,1/Jan/23,Published,,How to plan a group fitness class,,,,"Topics to cover:
Types of group exercise
Group fitness class ideas
How to make group fitness class fun?",,
GPT,1/Jan/23,Published,,health and fitness disclaimer,,,,,,
GPT,1/Feb/23,Published,,fitness class intake form example,,,,,,
,1/Feb/23,Published,,How to set up an after school club,,,,"Sections and questions to cover: 
1. After school club legal requirements (Example questions include: Do you have to be Ofsted registered to run an after-school club? What are the staff ratio requirement? Qualification requirement)
2. Business plan (understand local demand, pricing, marketing channels, funding)
3. Operations (manage admin - manually, spreadsheet, use an afterschool club booking system), payment methods (credit card, cash, CCV/TFC), after school club activity ideas (link to existing post)
",,
GPT,1/Feb/23,Published,,parental photo consent form,,,,,,
,1/Mar/23,Published,,How to promote dance classes,,,,,,
,1/Apr/23,Published,,How to start an Afterschool Program in California,,,,,,
,1/Apr/23,Published,,Forest school ideas/ Outdoor learning ideas,,900,"forest school ideas (UK) 900
forest school craft ideas 250	
forest school activity ideas 90",,,
,1/May/23,Published,,How to start an Afterschool Program in New JERSEY,,,,,,
,1/May/23,Published,,Tennis drills for groups,,,,,,
,1/Jun/23,Published,,How to become qualified as a tennis coach in the UK,,,,,,
,1/Jun/23,Published,,how to start a cooking class at home,,,,,,
,1/Jul/23,Published,,How to set up an after OOSH club in Australia,,,,,,
,1/Jul/23,Published,,Cooking class lesson plan,,,,,,
,1/Aug/23,Published,,Tax free childcare,,,,,,
,1/Aug/23,Published,,Free class booking systems,,,,,,
,1/Sep/23,Published,,Drama lesson plans pdf,,,,,,
,1/Sep/23,Published,BOF post,how to make a booking website with wordpress,,,"wordpress booking system (1300 p.m.)
wordpress booking and payment plugin        170
how to make a booking website with wordpress        20        ",,,
,1/Oct/23,Published,,Social media marketing,,,,,,
Outsource,1/Oct/23,Published,TOF post,Kids Yoga Lesson Plan: Your Guide to Safe and Exciting Yoga Sessions,,,Kids Yoga Lesson Plan Volume: 180/mo,,,
,1/Nov/23,Published,BOF post,Top 5 Best Afterschool Program Management Software,,90,"afterschool program software (90)
Afterschool program management software (40)
(20)",,,
Outsource,1/Nov/23,Published,TOF post,Afterschool lesson plans,,260,"afterschool lesson plans (260 US)
afterschool program curriculum (110 US)
stem curriculum for afterschool programs (20 US)",,,Hisawyer ranking 2
Outsource,1/Dec/23,Published,BOF post,Top 5 Best online booking system for fitness classes,,130,"best online booking system for fitness classes (130 impressions in last 3 months, 24 average ranking)
best booking system for yoga studio (112 impressions, ranking 92)",,,
,1/Jan/24,Published,BOF post,Top 5 Best Camp Management Software,,50,"Camp registration software (50)
summer camp registration software (50)
sports camp registration software        20
online camp registration systems        30",,,
